epoch,acc,loss,vacc,vloss
0,0.432087614214,1.5075591169,0.523333333651,1.36324478594
1,0.608704454877,1.05088142438,0.557333334605,1.33504092916
2,0.647239072627,0.951501894646,0.561333333333,1.2714256649
3,0.669276653296,0.891777448964,0.599666666826,1.15448231951
4,0.686571871232,0.848144232143,0.597000000795,1.17638498036
5,0.697781446322,0.818657958737,0.589666666667,1.24658036486
6,0.709442674901,0.789054586492,0.60433333381,1.20755339495
7,0.717249273683,0.765485359443,0.590000000159,1.28575643698
8,0.726262877805,0.745805933564,0.614000000159,1.18990895367
9,0.732827429333,0.728463793933,0.60366666762,1.20151778714
10,0.738021445682,0.71314973424,0.604999999682,1.24306045373
11,0.741260892094,0.702398009234,0.615666666826,1.25284025478
12,0.747743678642,0.687874239459,0.622333333015,1.21618977324
13,0.750983125253,0.677493070258,0.615333333333,1.21881982899
14,0.755850082048,0.664396732535,0.613666666826,1.25176362101
15,0.75886759523,0.656695135324,0.614333333492,1.25699734815
16,0.761709898153,0.648408888986,0.617666666667,1.22541576576
17,0.765665760654,0.639779739615,0.591333333492,1.45363405577
18,0.768889632856,0.631242522439,0.610333333969,1.25485077286
19,0.772273141319,0.623970151208,0.604666667144,1.37521799024
20,0.773990203577,0.618336013958,0.62866666762,1.27134135087
21,0.777346457165,0.610402039488,0.624,1.27754066976
22,0.778405506954,0.606629309126,0.623333334287,1.29761955198
23,0.780126462897,0.600191944095,0.608666666667,1.28897298209
24,0.780819517513,0.598248174803,0.618999999682,1.31322002888
25,0.78386817925,0.590760190724,0.616666667302,1.37301342837
26,0.787372388162,0.583419532016,0.611666666826,1.35193985303
27,0.788205611271,0.579265712316,0.613666666667,1.34240701516
28,0.789463232938,0.575568911624,0.592000000636,1.36505851555
29,0.792562511145,0.56896739319,0.626333334287,1.33499342791
30,0.792554723968,0.567479661519,0.620333334128,1.33839926529
31,0.794010917444,0.565096896728,0.622333333969,1.36469511159
32,0.795482685185,0.560606627887,0.61366666762,1.43293966993
33,0.798356136562,0.554638520016,0.616000000318,1.41323079713
34,0.798484624142,0.551010680927,0.613666667302,1.4372549928
35,0.801595583052,0.545176126405,0.631333333651,1.35548311742
36,0.801548860239,0.545830502507,0.597000000318,1.49405845642
37,0.802950543812,0.541661835024,0.625666666667,1.37655572987
38,0.804729903165,0.536349964752,0.624666667302,1.38721312968
39,0.805605955449,0.532674780061,0.627000000795,1.41346138891
40,0.805792846577,0.531251261788,0.618333333015,1.45200278282
41,0.806474220511,0.528953187491,0.624000000636,1.42459072304
42,0.807949881884,0.52670383806,0.621333334287,1.43130822945
43,0.809437223893,0.52210565404,0.621666666349,1.41128275681
44,0.810060194413,0.522259996262,0.629333333333,1.39945074081
45,0.812450843594,0.515084336947,0.618333334923,1.39457304509
46,0.812275633123,0.514837827272,0.628666666985,1.42342698733
47,0.813354150841,0.51405683969,0.608333333333,1.51724382687
48,0.812797370913,0.513882175507,0.628666667302,1.38819815604
49,0.814794770007,0.508681066174,0.628333333969,1.39627646637
